objc[10976]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/bin/java (0x1027264c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x1037484e0). One of the two will be used. Which one is undefined.
http://128.195.52.217:19002/query/service

AsterixDB Client - Read-Only Workload - Starting Iteration 0
 Q5-4	249860	2019-07-15 23:22:56.303		2019-07-15 23:27:06.163
 Q6-4	249039	2019-07-15 23:27:06.164		2019-07-15 23:31:15.216
 Q7-4	181033	2019-07-15 23:31:15.218		2019-07-15 23:34:16.332
 Q8-4	175026	2019-07-15 23:34:16.333		2019-07-15 23:37:11.362
 Q9-4	174899	2019-07-15 23:37:11.363		2019-07-15 23:40:06.349
Total time for iteration 4 :	7273418 ms


AsterixDB Client - Read-Only Workload - Starting Iteration 5
 Q3-1	675149	2019-07-15 23:40:06.351		2019-07-15 23:51:21.5
 Q5-1	331373	2019-07-15 23:51:21.5		2019-07-15 23:56:52.886
 Q6-1	296338	2019-07-15 23:56:52.887		2019-07-16 00:01:49.226
 Q7-1	217500	2019-07-16 00:01:49.227		2019-07-16 00:05:26.74
 Q8-1	211548	2019-07-16 00:05:26.74		2019-07-16 00:08:58.304
 Q9-1	208885	2019-07-16 00:08:58.305		2019-07-16 00:12:27.247
 Q3-1	675180	2019-07-16 00:12:27.248		2019-07-16 00:23:42.429
 Q5-2	319903	2019-07-16 00:23:42.43		2019-07-16 00:29:02.335
 Q6-2	295325	2019-07-16 00:29:02.335		2019-07-16 00:33:57.668
 Q7-2	216280	2019-07-16 00:33:57.668		2019-07-16 00:37:33.977
 Q8-2	212336	2019-07-16 00:37:33.978		2019-07-16 00:41:06.314
 Q9-2	209923	2019-07-16 00:41:06.315		2019-07-16 00:44:36.262
 Q3-1	675010	2019-07-16 00:44:36.262		2019-07-16 00:55:51.273
 Q5-3	301471	2019-07-16 00:55:51.273		2019-07-16 01:00:52.752
 Q6-3	282953	2019-07-16 01:00:52.752		2019-07-16 01:05:35.718
 Q7-3	210604	2019-07-16 01:05:35.719		2019-07-16 01:09:06.328
 Q8-3	205823	2019-07-16 01:09:06.328		2019-07-16 01:12:32.217
 Q9-3	203302	2019-07-16 01:12:32.218		2019-07-16 01:15:55.584
 Q3-1	674970	2019-07-16 01:15:55.585		2019-07-16 01:27:10.555
 Q5-4	262764	2019-07-16 01:27:10.555		2019-07-16 01:31:33.319
 Q6-4	259282	2019-07-16 01:31:33.319		2019-07-16 01:35:52.613
 Q7-4	191479	2019-07-16 01:35:52.614		2019-07-16 01:39:04.181
 Q8-4	191403	2019-07-16 01:39:04.182		2019-07-16 01:42:15.588
 Q9-4	189235	2019-07-16 01:42:15.589		2019-07-16 01:45:24.891
Total time for iteration 5 :	7518541 ms

Finished at: 1563266724897

BigFUN Benchmark is done.

